Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
soybean,0,10,1,0.5,0.1,0.5,15,100,100,100,85.5555555555556
soybean,0,10,1,0.5,0.1,0.5,15,1000,100,100,85.5555555555556
soybean,0,10,1,0.2,0.1,0.5,15,100,100,100,84
soybean,0,10,1,0.2,0.1,0.5,15,1000,100,100,84
soybean,0,10,1,0.5,0.1,0.5,15,100,100,100,82.6666666666667
soybean,0,10,1,0.5,0.1,0.5,15,1000,100,100,82.6666666666667
soybean,0,10,1,0.8,0.1,0.5,1,100,100,100,82.2222222222222
soybean,0,10,1,0.8,0.1,0.5,1,1000,100,100,82.2222222222222
soybean,0,10,1,0.8,0.1,0.5,7,100,100,100,82.2222222222222
soybean,0,10,1,0.8,0.1,0.5,7,1000,100,100,82.2222222222222
soybean,0,10,1,0.8,0.1,0.5,15,100,100,100,82.2222222222222
soybean,0,10,1,0.8,0.1,0.5,15,1000,100,100,82.2222222222222
soybean,0,10,1,0.5,0.1,0.5,1,100,100,100,80
soybean,0,10,1,0.5,0.1,0.5,1,1000,100,100,80
soybean,0,10,1,0.5,0.1,0.5,1,100,100,100,75.5555555555556
soybean,0,10,1,0.5,0.1,0.5,1,1000,100,100,75.5555555555556
soybean,0,10,1,0.5,0.1,0.5,15,100,100,100,75.5555555555556
soybean,0,10,1,0.5,0.1,0.5,15,1000,100,100,75.5555555555556
soybean,0,10,1,0.8,0.1,0.5,7,100,100,100,66.6666666666667
soybean,0,10,1,0.8,0.1,0.5,7,1000,100,100,66.6666666666667
soybean,0,10,1,0.8,0.1,0.5,15,100,100,100,57.3333333333333
soybean,0,10,1,0.5,0.1,0.9,1,10,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,10,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,10,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,100,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,100,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,100,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.9,1,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.9,7,10,100,100,100
soybean,0,10,1,0.5,0.1,0.9,7,100,100,100,100
soybean,0,10,1,0.5,0.1,0.9,7,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.9,15,10,100,100,100
soybean,0,10,1,0.5,0.1,0.9,15,100,100,100,100
soybean,0,10,1,0.5,0.1,0.9,15,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,10,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,10,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,100,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,100,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.9,1,10,100,100,92.8888888888889
soybean,0,10,1,0.8,0.1,0.9,1,100,100,100,92.8888888888889
soybean,0,10,1,0.5,0.1,0.9,7,100,100,100,92.6984126984127
soybean,0,10,1,0.5,0.1,0.9,7,1000,100,100,92.6984126984127
soybean,0,10,1,0.8,0.1,0.9,7,100,100,100,90.6666666666667
soybean,0,10,1,0.8,0.1,0.9,7,1000,100,100,90.6666666666667
soybean,0,10,1,0.8,0.1,0.9,7,100,100,100,90
soybean,0,10,1,0.8,0.1,0.9,7,1000,100,100,90
soybean,0,10,1,0.5,0.1,0.9,7,100,100,100,87.7777777777778
soybean,0,10,1,0.5,0.1,0.9,7,1000,100,100,87.7777777777778
soybean,0,10,1,0.2,0.1,0.9,1,100,100,100,86.2222222222222
soybean,0,10,1,0.2,0.1,0.9,1,1000,100,100,86.2222222222222
soybean,0,10,1,0.5,0.1,0.9,15,100,100,100,84
