Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1=c2,c1<c2,vmax,pop_size,loss1,loss2,average,,,
glass,0,10,1,0.5,0.9,0.5,,,,1,1000,81.8181818181818,78.1620553359684,70.9359201693298,,,
glass,0,10,1,0.5,0.5,0.5,,,,7,1000,86.3636363636364,84.7107438016529,70.7603633739998,,,
glass,0,10,1,0.5,0.9,5,,,,1,1000,100,100,70.4013915377552,,,
glass,0,10,1,0.5,5,0.5,,,,15,1000,68.1818181818182,64.8760330578512,70.2727378275967,,,
glass,0,10,1,0.5,0.1,0.9,,,,1,1000,90.9090909090909,90.9090909090909,69.8576675849403,,,
glass,0,10,1,0.2,0.1,0.9,,,,1,1000,81.8181818181818,77.1349862258953,68.83608815427,,,
glass,0,10,1,0.2,0.5,0.9,,,,15,1000,77.2727272727273,73.258559622196,68.6803095894005,,,
glass,0,10,1,0.5,5,0.5,,,,1,1000,77.2727272727273,71.5504850880345,68.6733940192438,,,
glass,0,10,1,0.8,0.5,0.1,,,,1,1000,72.7272727272727,68.4014053579271,68.5240081979212,,,
glass,0,10,1,0.5,0.9,0.9,,,,7,100,63.6363636363636,61.5864527629234,68.487505828461,,,
glass,0,10,1,0.2,0.9,0.9,,,,7,1000,81.8181818181818,77.4044795783926,68.4456769660136,,,
glass,0,10,1,0.8,0.5,0.1,,,,15,1000,68.1818181818182,64.8760330578512,68.1588613406795,,,
glass,0,10,1,0.2,0.9,0.1,,,,15,1000,77.2727272727273,71.969696969697,68.0555555555556,,,
glass,0,10,1,0.8,0.5,0.1,,,,15,100,72.7272727272727,69.7560015741834,67.6842260053404,,,
glass,0,10,1,0.2,5,0.1,,,,15,1000,81.8181818181818,77.4044795783926,67.679762047351,,,
glass,0,10,1,0.8,0.9,5,,,,1,1000,50,46.9367588932806,67.5936382458122,,,
glass,0,10,1,0.8,0.5,0.1,,,,1,100,81.8181818181818,77.4044795783926,67.3545648159954,,,
glass,0,10,1,0.8,5,0.1,,,,1,100,86.3636363636364,82.4549846288977,67.3430617106507,,,
glass,0,10,1,0.5,5,0.9,,,,15,1000,45.4545454545455,45.9710743801653,67.3044182683681,,,
glass,0,10,1,0.2,5,0.1,,,,1,1000,81.8181818181818,77.4044795783926,67.2845051303549,,,
glass,0,10,1,0.8,0.1,0.1,,,,15,1000,81.8181818181818,79.9586776859504,67.222928586565,,,
glass,0,10,1,0.8,0.5,0.5,,,,15,1000,100,100,67.125621292288,,,
glass,0,10,1,0.2,0.1,5,,,,7,1000,77.2727272727273,77.3310023310023,67.0792388439447,,,
glass,0,10,1,0.2,0.9,0.1,,,,7,1000,77.2727272727273,76.0330578512397,66.8017460507579,,,
glass,0,10,1,0.5,0.5,0.5,,,,1,1000,77.2727272727273,74.2094861660079,66.775502976064,,,
glass,0,10,1,0.5,5,0.1,,,,15,1000,72.7272727272727,67.9522497704316,66.7164064891338,,,
glass,0,10,1,0.2,0.5,5,,,,1,10,77.2727272727273,73.5537190082645,66.7064585246404,,,
glass,0,10,1,0.8,0.9,0.1,,,,1,100,77.2727272727273,71.969696969697,66.4409243954699,,,
glass,0,10,1,0.2,5,0.9,,,,15,1000,72.7272727272727,67.9522497704316,66.4156718702173,,,
glass,0,10,1,0.2,0.5,0.9,,,,7,1000,72.7272727272727,69.6640316205534,66.2853834790594,,,
glass,0,10,1,0.5,0.9,0.9,,,,1,100,77.2727272727273,71.2121212121212,66.2844052873378,,,
glass,0,10,1,0.8,0.9,0.1,,,,15,1000,63.6363636363636,58.7695133149679,66.0219003327508,,,
glass,0,10,1,0.5,5,0.9,,,,1,100,81.8181818181818,77.1349862258953,65.9006900360655,,,
glass,0,10,1,0.2,0.5,0.9,,,,1,1000,86.3636363636364,83.7465564738292,65.8963662600026,,,
glass,0,10,1,0.2,0.5,0.5,,,,1,1000,81.8181818181818,77.4044795783926,65.743735111324,,,
glass,0,10,1,0.2,0.9,5,,,,1,10,72.7272727272727,70.7792207792208,65.7238677001523,,,
glass,0,10,1,0.5,5,0.1,,,,7,1000,77.2727272727273,73.258559622196,65.7131706677161,,,
glass,0,10,1,0.2,5,0.9,,,,7,1000,77.2727272727273,74.5638200183655,65.5203208868898,,,
glass,0,10,1,0.5,0.1,0.9,,,,15,1000,86.3636363636364,85.7142857142857,65.3346316982681,,,
glass,0,10,1,0.2,0.9,0.1,,,,1,1000,77.2727272727273,71.5504850880345,65.3331736335689,,,
glass,0,10,1,0.5,5,0.5,,,,7,1000,59.0909090909091,56.2982768865122,65.2668137962256,,,
glass,0,10,1,0.5,0.5,0.9,,,,1,100,72.7272727272727,68.4014053579271,65.1780566513449,,,
glass,0,10,1,0.5,0.9,0.1,,,,1,1000,77.2727272727273,71.969696969697,65.1223776223776,,,
glass,0,10,1,0.8,0.9,0.1,,,,15,100,68.1818181818182,64.5750988142293,65.0983065814763,,,
glass,0,10,1,0.5,0.5,0.1,,,,7,1000,77.2727272727273,73.5537190082645,65.0879423606697,,,
glass,0,10,1,0.5,0.9,0.1,,,,15,1000,77.2727272727273,73.5537190082645,65.0879423606697,,,
glass,0,10,1,0.2,0.1,5,,,,1,10,81.8181818181818,77.1349862258953,65.0490411359976,,,
glass,0,10,1,0.2,0.9,0.5,,,,7,1000,77.2727272727273,71.969696969697,64.709595959596,,,
glass,0,10,1,0.2,0.9,0.5,,,,1,1000,72.7272727272727,68.4014053579271,64.5555602778604,,,
glass,0,10,1,0.5,0.5,0.1,,,,1,1000,72.7272727272727,69.7560015741834,64.4767479994753,,,
glass,0,10,1,0.5,0.1,0.1,,,,15,1000,81.8181818181818,77.4044795783926,64.3438919704905,,,
glass,0,10,1,0.2,0.9,0.9,,,,1,1000,72.7272727272727,68.4014053579271,64.2834803901998,,,
glass,0,10,1,0.8,5,0.1,,,,7,1000,59.0909090909091,49.512987012987,64.1990178280501,,,
glass,0,10,1,0.2,0.1,0.9,,,,15,1000,72.7272727272727,69.4214876033058,64.1742809232928,,,
glass,0,10,1,0.5,0.1,0.1,,,,1,100,81.8181818181818,77.4044795783926,64.0950013973729,,,
glass,0,10,1,0.5,0.9,0.1,,,,7,1000,81.8181818181818,77.1349862258953,63.9630827377863,,,
glass,0,10,1,0.2,0.5,0.1,,,,1,1000,77.2727272727273,71.969696969697,63.9577594123049,,,
glass,0,10,1,0.8,0.1,0.1,,,,15,100,68.1818181818182,64.8760330578512,63.8977056467175,,,
glass,0,10,1,0.8,0.5,0.1,,,,7,100,72.7272727272727,68.4014053579271,63.8199987944233,,,
glass,0,10,1,0.2,0.5,0.1,,,,7,1000,77.2727272727273,71.5504850880345,63.6568827527326,,,
glass,0,10,1,0.2,5,0.9,,,,1,1000,77.2727272727273,71.969696969697,63.578971533517,,,
glass,0,10,1,0.5,0.9,0.5,,,,15,1000,77.2727272727273,73.5537190082645,63.5330578512397,,,
glass,0,10,1,0.5,5,0.1,,,,1,1000,72.7272727272727,68.4014053579271,63.3705044772239,,,
glass,0,10,1,0.5,0.1,0.1,,,,7,1000,77.2727272727273,71.5504850880345,63.3461606465559,,,
glass,0,10,1,0.5,0.9,0.5,,,,1,100,72.7272727272727,67.4242424242424,63.2920110192837,,,
glass,0,10,1,0.5,0.5,0.1,,,,15,1000,77.2727272727273,71.5504850880345,63.2630458659289,,,
glass,0,10,1,0.5,5,0.1,,,,7,100,77.2727272727273,73.051948051948,63.1641414141414,,,
glass,0,10,1,0.2,0.1,0.5,,,,15,1000,81.8181818181818,77.4044795783926,63.1304387570372,,,
glass,0,10,1,0.2,5,0.1,,,,7,1000,77.2727272727273,71.969696969697,63.0496137849079,,,
glass,0,10,1,0.2,0.9,0.9,,,,15,1000,86.3636363636364,83.7465564738292,63.0295045314808,,,
glass,0,10,1,0.2,0.1,0.5,,,,1,1000,77.2727272727273,73.5537190082645,62.9706152433425,,,
glass,0,10,1,0.5,0.1,0.1,,,,1,1000,72.7272727272727,67.597915918074,62.8448516788438,,,
glass,0,10,1,0.2,0.5,0.1,,,,15,1000,81.8181818181818,77.4044795783926,62.8118684384669,,,
glass,0,10,1,0.5,0.1,0.9,,,,7,1000,72.7272727272727,65.2680652680653,62.6359751359752,,,
glass,0,10,1,0.2,0.1,0.1,,,,1,1000,77.2727272727273,71.969696969697,62.5322977675919,,,
glass,0,10,1,0.2,0.5,0.5,,,,7,1000,86.3636363636364,83.7465564738292,62.444870310483,,,
glass,0,10,1,0.2,5,0.5,,,,1,1000,77.2727272727273,74.2094861660079,62.2122923190117,,,
glass,0,10,1,0.5,5,0.5,,,,1,100,77.2727272727273,73.2323232323232,61.9718396082032,,,
glass,0,10,1,0.2,0.1,0.9,,,,7,100,81.8181818181818,77.1349862258953,61.6463334645153,,,
glass,0,10,1,0.5,0.9,0.1,,,,7,100,77.2727272727273,73.4519104084321,61.3133024200218,,,
glass,0,10,1,0.5,0.5,0.1,,,,15,100,77.2727272727273,73.4972098608462,61.2110318573932,,,
glass,0,10,1,0.2,0.5,0.5,,,,15,1000,72.7272727272727,69.7560015741834,61.1740404230523,,,
