layers,position_range,velocity_range,omega,c1,c2,C1 > c2,C1 == c2,vmax,pop_size,loss1,loss2,average loss2
0,10,1,0.5,0.9,0.1,TRUE,FALSE,15,1000,0.072409574718484,0.009446770975848,0.010667340653634
0,10,1,0.2,5,0.1,TRUE,FALSE,15,1000,0.073872934460905,0.010170975843304,0.010668759483467
0,10,1,0.5,0.1,0.9,FALSE,FALSE,1,100,0.072050054944066,0.009294364109213,0.010712754170506
0,10,1,0.2,0.1,0.1,FALSE,TRUE,1,1000,0.072232629851529,0.009446442187829,0.010736644202018
0,10,1,0.5,0.1,0.5,FALSE,FALSE,7,1000,0.073483788453738,0.010211512096592,0.010824091866188
0,10,1,0.2,0.1,0.5,FALSE,FALSE,7,1000,0.072630369681552,0.009027497916443,0.010929977036782
0,10,1,0.2,0.9,0.1,TRUE,FALSE,15,1000,0.073664535176628,0.009723265151057,0.011047419699106
0,10,1,0.5,5,0.1,TRUE,FALSE,15,100,0.075705662170372,0.009804367225172,0.011123644310731
0,10,1,0.2,5,0.5,TRUE,FALSE,1,100,0.072256204595841,0.009308738309976,0.011136236068267
0,10,1,0.2,0.5,5,FALSE,FALSE,1,100,0.071353663639079,0.008860357355168,0.011152010834713
0,10,1,0.2,0.5,0.9,FALSE,FALSE,15,1000,0.077531182381852,0.010564079978919,0.011158825759498
0,10,1,0.2,0.5,0.1,TRUE,FALSE,7,1000,0.074124628937169,0.010356304751239,0.011174600346829
0,10,1,0.2,0.1,0.9,FALSE,FALSE,1,100,0.075353626512584,0.010064499097066,0.011174730031812
0,10,1,0.2,0.5,0.5,FALSE,TRUE,7,1000,0.072914329402824,0.009543517058036,0.011179305542952
0,10,1,0.2,0.9,0.9,FALSE,TRUE,1,100,0.076291838633265,0.010401407608906,0.011222087499856
0,10,1,0.2,0.5,5,FALSE,FALSE,1,10,0.073904041858496,0.009875141182155,0.011235768820252
0,10,1,0.2,0.9,0.5,TRUE,FALSE,1,100,0.074502895258933,0.010541120069751,0.011244327705123
0,10,1,0.2,0.1,0.5,FALSE,FALSE,1,100,0.073341965218085,0.010242410435102,0.01124846452656
0,10,1,0.2,0.9,0.1,TRUE,FALSE,15,100,0.0733671954218,0.009816501293023,0.011380008554126
0,10,1,0.2,0.9,0.5,TRUE,FALSE,7,1000,0.070635098236878,0.008733945999957,0.011430724062695
0,10,1,0.2,0.1,5,FALSE,FALSE,1,10,0.076110940527601,0.010934718889973,0.011455502460305
0,10,1,0.2,5,0.9,TRUE,FALSE,1,100,0.074529400705596,0.010819884789438,0.011501037636764
0,10,1,0.5,0.1,0.1,FALSE,TRUE,1,100,0.07248836550066,0.009434530440819,0.011515081690225
0,10,1,0.2,5,0.1,TRUE,FALSE,1,100,0.071823997687254,0.009148305423058,0.011607897810282
0,10,1,0.2,0.1,0.1,FALSE,TRUE,1,100,0.081594760543694,0.011246251833006,0.011703267621289
0,10,1,0.2,0.9,0.5,TRUE,FALSE,15,100,0.079907166129113,0.011135133403629,0.011789641845853
0,10,1,0.2,5,0.1,TRUE,FALSE,7,100,0.072111183702694,0.009254154431654,0.011841085388302
0,10,1,0.2,0.5,0.9,FALSE,FALSE,7,100,0.072843267845914,0.009451842316212,0.011947502196155
0,10,1,0.2,0.9,5,FALSE,FALSE,1,1000,0.071703566911888,0.008776582470713,0.012031625250446
0,10,1,0.2,0.5,0.9,FALSE,FALSE,1,100,0.072503612219728,0.009282350578956,0.012069751737941
0,10,1,0.2,0.5,0.1,TRUE,FALSE,1,100,0.077700209604666,0.01092871738288,0.012149052304928
0,10,1,0.5,0.5,0.1,TRUE,FALSE,1,100,0.075551153887051,0.010024603988173,0.012157845486522
0,10,1,0.2,0.5,0.5,FALSE,TRUE,7,100,0.082473349906853,0.011476865280123,0.012168708800235
0,10,1,0.2,0.5,0.1,TRUE,FALSE,7,100,0.075235486528201,0.010675571015842,0.012173046450909
0,10,1,0.5,0.9,0.5,TRUE,FALSE,1,1000,0.072054074178812,0.009621089393792,0.012174053052688
0,10,1,0.2,0.1,0.1,FALSE,TRUE,7,100,0.076240712676362,0.010289274821905,0.012704517026697
0,10,1,0.5,0.5,0.1,TRUE,FALSE,7,100,0.076105730815147,0.010674916920782,0.012726454581288
0,10,1,0.2,0.9,0.1,TRUE,FALSE,7,100,0.077028532276515,0.010691426224081,0.01306836242033
0,10,1,0.2,5,0.5,TRUE,FALSE,7,100,0.074245316505812,0.009548500126691,0.013112008752446
0,10,1,0.5,5,0.1,TRUE,FALSE,7,100,0.072644489056441,0.009463485670282,0.013290925485198
0,10,1,0.5,0.9,0.1,TRUE,FALSE,15,100,0.078428354002528,0.010982852639346,0.013460410581468
0,10,1,0.5,0.1,0.5,FALSE,FALSE,1,1000,0.072090443976603,0.009588936626563,0.013502510555665
0,10,1,0.5,0.1,0.1,FALSE,TRUE,7,100,0.087783667651346,0.012880761314908,0.013549474771915
0,10,1,0.5,0.9,0.1,TRUE,FALSE,1,100,0.07642355574679,0.009992456066455,0.013600765819151
0,10,1,0.2,0.1,0.1,FALSE,TRUE,15,100,0.077082469765938,0.010438887644178,0.013807769673975
0,10,1,0.2,5,5,FALSE,TRUE,1,100,0.091135789042345,0.013582737406483,0.013883610911753
0,10,1,0.2,5,0.5,TRUE,FALSE,15,100,0.078768915394811,0.010952271187578,0.013909884056624
0,10,1,0.2,0.5,0.9,FALSE,FALSE,15,100,0.082454398209807,0.011710239308944,0.013940472510405
0,10,1,0.2,0.5,0.5,FALSE,TRUE,15,100,0.081877839505581,0.01166149526468,0.013960957923144
0,10,1,0.2,0.5,0.1,TRUE,FALSE,15,100,0.086597681965215,0.012838841868535,0.013975962415072
0,10,1,0.5,0.1,0.1,FALSE,TRUE,15,100,0.088575147083702,0.013491807846686,0.014206730297499
0,10,1,0.5,0.9,0.9,FALSE,TRUE,1,100,0.072654502799805,0.009858180935035,0.014319657752845
0,10,1,0.2,0.1,5,FALSE,FALSE,1,100,0.072001089877385,0.009604826598113,0.014358548218521
0,10,1,0.5,0.9,0.5,TRUE,FALSE,1,10,0.093316581439466,0.013921219902459,0.014594699275149
0,10,1,0.2,5,0.9,TRUE,FALSE,7,100,0.083478327273549,0.012295824154702,0.01461758180911
0,10,1,0.2,0.1,0.5,FALSE,FALSE,7,100,0.080721324798666,0.01143488706616,0.014808453453606
0,10,1,0.5,0.5,0.1,TRUE,FALSE,15,100,0.076610390893803,0.010065065903036,0.014866615248507
0,10,1,0.2,5,5,FALSE,TRUE,1,10,0.073998071329813,0.009312157268267,0.014898048448286
0,10,1,0.2,0.9,0.5,TRUE,FALSE,7,100,0.078233985947559,0.010690649135757,0.014917697730492
0,10,1,0.2,0.9,0.1,TRUE,FALSE,1,100,0.073803759405759,0.01000565661188,0.015080022056369
0,10,1,0.5,5,0.1,TRUE,FALSE,15,10,0.090290356783677,0.013884615978388,0.015206887789375
0,10,1,0.5,5,0.1,TRUE,FALSE,1,100,0.084849875592377,0.012094383170272,0.015314777424496
0,10,1,0.2,0.1,0.5,FALSE,FALSE,15,100,0.090515543237996,0.014158859297837,0.015553946074297
0,10,1,0.2,0.9,5,FALSE,FALSE,1,100,0.07457738418996,0.009519859234869,0.015766800436265
0,10,1,0.5,0.9,0.1,TRUE,FALSE,7,100,0.079219554357734,0.01180141263578,0.016053273765489
0,10,1,0.2,5,0.1,TRUE,FALSE,15,100,0.085899781797629,0.013678929022063,0.016072695453188
0,10,1,0.2,0.5,0.1,TRUE,FALSE,1,10,0.096568547369997,0.014727643935539,0.016281138453963
0,10,1,0.5,0.1,5,FALSE,FALSE,1,1000,0.074879900064392,0.010043900164456,0.016337068830323
0,10,1,0.2,0.9,0.9,FALSE,TRUE,7,100,0.076650558816163,0.010543119096713,0.016343718218465
0,10,1,0.5,0.5,0.9,FALSE,FALSE,1,100,0.073972707784507,0.010640395766435,0.016696109975673
0,10,1,0.5,0.5,0.9,FALSE,FALSE,1,1000,0.069966706419605,0.008661609679882,0.017106602036915
0,10,1,0.5,0.5,0.9,FALSE,FALSE,15,1000,0.06989605659287,0.008686230580946,0.017649999187496
0,10,1,0.2,5,0.9,TRUE,FALSE,15,100,0.086280146874102,0.014382751878265,0.018063100491692
0,10,1,0.2,0.9,0.5,TRUE,FALSE,15,10,0.084275981606506,0.012549868758038,0.018150521158981
0,10,1,0.5,5,0.1,TRUE,FALSE,7,10,0.090042300796291,0.013322269264491,0.018252144157837
0,10,1,0.2,0.5,5,FALSE,FALSE,1,1000,0.072638885227898,0.010135152616597,0.018362694070082
0,10,1,0.5,0.1,0.5,FALSE,FALSE,1,100,0.07513639423975,0.01038690555726,0.018496935627092
0,10,1,0.2,0.1,0.9,FALSE,FALSE,15,100,0.086414460561219,0.013549012523941,0.018759823789425
0,10,1,0.5,0.5,0.1,TRUE,FALSE,7,10,0.085788874232708,0.01280480212136,0.019050524359198
0,10,1,0.2,5,0.1,TRUE,FALSE,1,10,0.090204299115582,0.013776396858327,0.01905757751174
0,10,1,0.2,0.5,0.5,FALSE,TRUE,1,10,0.092000077897033,0.014836750371234,0.019149466065597
0,10,1,0.2,0.1,0.9,FALSE,FALSE,7,10,0.092135199767408,0.013933608367336,0.019281239945456
0,10,1,0.5,5,0.9,TRUE,FALSE,1,100,0.072798222447809,0.009763051746969,0.019365093715508
0,10,1,0.2,0.1,0.1,FALSE,TRUE,7,10,0.088747965303469,0.013917176231598,0.019453870436526
0,10,1,0.2,0.1,0.9,FALSE,FALSE,7,100,0.093061527065023,0.014996468670476,0.01965604951019
0,10,1,0.2,0.5,5,FALSE,FALSE,15,100,0.095695305831034,0.01490860465108,0.019759479865526
0,10,1,0.5,0.1,0.5,FALSE,FALSE,7,100,0.072445035792745,0.009233905201354,0.019761441906883
0,10,1,0.2,0.9,0.1,TRUE,FALSE,15,10,0.087168629928826,0.013742652879068,0.019866559556501
0,10,1,0.5,0.5,0.1,TRUE,FALSE,1,10,0.091116655204494,0.013647735644325,0.019894060923466
0,10,1,0.5,0.5,0.5,FALSE,TRUE,15,100,0.075943634507381,0.009843791984129,0.020515189027204
0,10,1,0.2,0.9,0.9,FALSE,TRUE,1,10,0.096538719216083,0.014854209482708,0.020532354231676
0,10,1,0.5,0.1,0.1,FALSE,TRUE,15,10,0.097982219607953,0.015776835928719,0.020550184986846
0,10,1,0.2,0.9,0.1,TRUE,FALSE,1,10,0.083784527391995,0.013782738745146,0.020697230040911
0,10,1,0.2,0.1,0.9,FALSE,FALSE,1,10,0.09785767676279,0.016215097237117,0.020854228953829
0,10,1,0.5,0.1,0.9,FALSE,FALSE,1,10,0.101575206202251,0.016859696062171,0.020968272539913
0,10,1,0.5,0.9,0.9,FALSE,TRUE,15,1000,0.074162774571287,0.009431506952154,0.021297089280265
0,10,1,0.5,0.1,0.9,FALSE,FALSE,1,1000,0.068976450918521,0.008415809188434,0.021659830564911
0,10,1,0.2,0.1,5,FALSE,FALSE,1,1000,0.073644332832204,0.009443983294615,0.022545271798229
0,10,1,0.2,0.9,5,FALSE,FALSE,15,1000,0.071990824945414,0.009616990292308,0.022556775147022
