Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1<=c2,c1==c2,vmax,pop_size,loss1,loss2,average,count,value,param
Cancer,0,10,1,0.5,0.5,0.5,FALSE,,TRUE,15,1000,88.5714285714286,88.7074829931973,91.5589569160998,,,
Cancer,0,10,1,0.2,5,5,FALSE,,TRUE,7,10,91.4285714285714,91.4876338132152,91.5586533887359,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,7,100,88.5714285714286,88.7619047619048,91.5576883638899,,,
Cancer,0,10,1,0.5,0.5,0.5,FALSE,,TRUE,7,1000,87.1428571428571,87.3195035782227,91.5562083483304,,,
Cancer,0,10,1,0.2,5,0.5,TRUE,,FALSE,1,100,92.8571428571429,92.92589763178,91.5559630934572,,,
Cancer,0,10,1,0.5,0.5,0.1,TRUE,,FALSE,1,1000,91.4285714285714,91.4876338132152,91.5549502994003,,,
Cancer,0,10,1,0.2,0.9,0.9,FALSE,,TRUE,7,1000,90,90.096256684492,91.5536642147274,,,
Cancer,0,10,1,0.2,0.9,0.9,FALSE,,TRUE,15,1000,90,90.096256684492,91.5536642147274,,,
Cancer,0,10,1,0.2,0.1,0.5,FALSE,,FALSE,15,1000,90,90.096256684492,91.548475743301,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,1,100,90,90.096256684492,91.548475743301,,,
Cancer,0,10,1,0.2,5,0.5,TRUE,,FALSE,15,1000,91.4285714285714,91.4876338132152,91.5438651252128,,,
Cancer,0,10,1,0.5,5,5,FALSE,,TRUE,1,10,91.4285714285714,91.530612244898,91.5357725117535,,,
Cancer,0,10,1,0.8,0.5,0.5,FALSE,,TRUE,1,1000,87.1428571428571,87.1902593177805,91.5268071567165,,,
Cancer,0,10,1,0.8,0.5,0.9,FALSE,,FALSE,1,100,88.5714285714286,88.343685300207,91.4518633540373,,,
Cancer,0,10,1,0.2,0.5,5,FALSE,,FALSE,7,100,87.1428571428571,87.3589659976877,91.1205364251173,,,
Cancer,0,10,1,0.2,0.1,5,FALSE,,FALSE,7,100,87.1428571428571,87.3500134517084,91.1175522431242,,,
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,7,100,87.1428571428571,87.3500134517084,91.1175522431242,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.1104694467092,,,
Cancer,0,10,1,0.2,0.1,5,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.2,0.5,5,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.2,5,5,FALSE,,TRUE,1,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.2,5,5,FALSE,,TRUE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.1,0.5,FALSE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.1,0.9,FALSE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.5,0.9,FALSE,,FALSE,15,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.9,0.5,TRUE,,FALSE,15,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,15,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.8,5,0.1,TRUE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.8,5,0.1,TRUE,,FALSE,15,1000,87.1428571428571,87.3195035782227,91.1073822852957,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,1,1000,88.5714285714286,88.7074829931973,91.0984863190679,,,
Cancer,0,10,1,0.2,0.1,0.5,FALSE,,FALSE,7,1000,88.5714285714286,88.7444431094557,91.0978712182889,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,15,1000,88.5714285714286,88.7074829931973,91.0966363537236,,,
Cancer,0,10,1,0.2,0.5,0.9,FALSE,,FALSE,15,1000,87.1428571428571,87.3195035782227,91.0964828403002,,,
Cancer,0,10,1,0.5,0.9,0.5,TRUE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.0964828403002,,,
Cancer,0,10,1,0.8,0.5,0.1,TRUE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.0964828403002,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,7,1000,87.1428571428571,87.3195035782227,91.0964828403002,,,
Cancer,0,10,1,0.2,0.1,0.5,FALSE,,FALSE,7,100,91.4285714285714,91.530612244898,91.0939798019414,,,
Cancer,0,10,1,0.2,0.5,0.5,FALSE,,TRUE,7,1000,90,90.137391671951,91.0937844114581,,,
Cancer,0,10,1,0.8,0.5,0.1,TRUE,,FALSE,7,100,88.5714285714286,88.7074829931973,91.0907396509625,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,15,100,90,90.137391671951,91.0889673984157,,,
Cancer,0,10,1,0.2,0.9,0.5,TRUE,,FALSE,15,1000,90,90.096256684492,91.0880051462692,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,7,1000,90,90.096256684492,91.0880051462692,,,
Cancer,0,10,1,0.5,5,0.1,TRUE,,FALSE,1,1000,90,90.096256684492,91.0880051462692,,,
Cancer,0,10,1,0.2,0.5,0.1,TRUE,,FALSE,15,1000,88.5714285714286,88.7074829931973,91.0855511795361,,,
Cancer,0,10,1,0.2,0.5,0.5,FALSE,,TRUE,15,1000,88.5714285714286,88.7074829931973,91.0855511795361,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,1,1000,88.5714285714286,88.7074829931973,91.0855511795361,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,15,1000,88.5714285714286,88.7074829931973,91.0855511795361,,,
Cancer,0,10,1,0.8,5,0.1,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,91.0855511795361,,,
Cancer,0,10,1,0.5,0.5,0.1,TRUE,,FALSE,7,1000,91.4285714285714,91.4876338132152,91.083394528181,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,7,1000,90,90.096256684492,91.0800727489718,,,
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,15,10,90,90.096256684492,91.0757725190282,,,
Cancer,0,10,1,0.2,0.5,0.1,TRUE,,FALSE,1,1000,90,90.096256684492,91.0695005274837,,,
Cancer,0,10,1,0.2,0.9,0.1,TRUE,,FALSE,7,1000,90,90.096256684492,91.0695005274837,,,
Cancer,0,10,1,0.5,0.5,5,FALSE,,FALSE,1,100,85.7142857142857,85.8127230220253,91.0676283914647,,,
