Data set,layers,position_range,velocity_range,omega,c1,c2,C1 > c2,c1<=c2,c1=c2,vmax,pop_size,loss1,loss2,average,,,
forestfires,0,10,1,0.5,0.1,0.5,,,,1,100,0.160481389101735,0.040716183214358,0.03627530308375,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,15,1000,0.159469991033671,0.041831590050474,0.036426208049319,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,1,1000,0.159665549365606,0.039751897663044,0.03642779277855,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,15,1000,0.162585118066289,0.038431193045242,0.036485241677708,,,
forestfires,0,10,1,0.2,0.5,5,,,,1,1000,0.169328763261052,0.045106606406186,0.036587252937025,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,1,1000,0.114227841747001,0.045748492602236,0.036592553918443,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,15,1000,0.171019563204812,0.040272043648152,0.036657172261691,,,
forestfires,0,10,1,0.2,0.5,5,,,,1,100,0.156550508297069,0.037012949805123,0.036657358540625,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,7,1000,0.165289741329243,0.039169797633232,0.036693385344621,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,7,1000,0.162796505744632,0.042651314381255,0.036717951776326,,,
forestfires,0,10,1,0.5,5,0.9,,,,15,1000,0.160289539122159,0.03677312168491,0.036722714436326,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,7,1000,0.167764428591735,0.041478995933732,0.03687750015839,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,15,100,0.168597473300538,0.040470713243864,0.03689089609193,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,1,100,0.166056260575498,0.042343254346506,0.037340634351263,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,1,1000,0.156428669451972,0.03822966488585,0.037438618617206,,,
forestfires,0,10,1,0.2,5,0.5,,,,15,1000,0.152511099341631,0.047144373087139,0.037595742924234,,,
forestfires,0,10,1,0.2,5,0.1,,,,7,100,0.154434749431907,0.036704532797766,0.037789788613451,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,7,1000,0.132463209997299,0.048691423078637,0.037805139474336,,,
forestfires,0,10,1,0.5,5,0.5,,,,7,1000,0.162151320399598,0.044684581618663,0.037819762886799,,,
forestfires,0,10,1,0.5,5,0.5,,,,1,100,0.172862413915573,0.043974138505991,0.037950640650894,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,15,100,0.171759741476947,0.044624859045395,0.038132177494897,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,7,1000,0.158526076219752,0.037751029890614,0.038149043400978,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,1,100,0.17060379763106,0.044027800696597,0.038280080758312,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,7,100,0.156871673076817,0.039367951363339,0.038335705966233,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,1,1000,0.132611655576621,0.049257443077561,0.038340400443908,,,
forestfires,0,10,1,0.2,5,0.5,,,,7,1000,0.134421473309413,0.048144830348056,0.038489703945649,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,1,100,0.169250826508294,0.048701222636388,0.038550226616718,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,1,100,0.180916230290625,0.044586984176094,0.038721709708965,,,
forestfires,0,10,1,0.2,0.9,5,,,,1,100,0.194600909167858,0.053728499737097,0.038960736042139,,,
forestfires,0,10,1,0.2,0.5,0.1,,,,1,100,0.171650590198673,0.043119733923355,0.039145857975642,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,7,100,0.161085458930956,0.040656928727683,0.039163630147921,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,15,1000,0.16742506805849,0.039718557665241,0.039343074782866,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,1,100,0.169424623596688,0.045087354479583,0.03953384256537,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,7,100,0.165117211829084,0.044882230642678,0.039609369485696,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,7,1000,0.16698846527199,0.040774083054804,0.039683679798189,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,1,100,0.167149295888433,0.044552435523571,0.039759645360391,,,
forestfires,0,10,1,0.2,5,0.1,,,,15,100,0.159790968299896,0.040204974182192,0.03989839395326,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,1,100,0.129867080944907,0.047323058484814,0.039978521714766,,,
forestfires,0,10,1,0.5,5,0.1,,,,7,100,0.16251286124119,0.043174389759347,0.039996118095225,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,7,100,0.161165239591064,0.044827687340964,0.040230050937384,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,1,100,0.162926537388789,0.047491415214825,0.040504395866257,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,15,100,0.151244755120456,0.048592768081158,0.04059647453729,,,
forestfires,0,10,1,0.2,5,0.9,,,,7,1000,0.160460089191305,0.050076687647421,0.040609393516632,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,1,100,0.159712719623345,0.038724235551963,0.040841406004887,,,
forestfires,0,10,1,0.2,5,0.5,,,,1,100,0.143243500558778,0.046363884656533,0.040882843768711,,,
forestfires,0,10,1,0.8,0.1,0.1,,,,1,1000,0.161446619315404,0.058758284502066,0.04095176742674,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,1,100,0.163256776499099,0.038106918772022,0.040967912643547,,,
forestfires,0,10,1,0.2,5,0.9,,,,1,100,0.166340608193746,0.04316257223883,0.040996810193836,,,
forestfires,0,10,1,0.2,5,0.1,,,,1,100,0.171703726561541,0.043695007796976,0.041108364863258,,,
forestfires,0,10,1,0.8,0.1,0.1,,,,1,100,0.148828220490371,0.038904417841249,0.041301208250159,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,7,100,0.167786982579752,0.04139416170789,0.041434368272994,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,15,1000,0.160189440164617,0.054123300781405,0.041496660328232,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,7,100,0.153517519823177,0.049705931829398,0.041597926699052,,,
forestfires,0,10,1,0.5,0.5,0.9,,,,1,100,0.165057235550559,0.052771883875828,0.041665929589605,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,15,100,0.157331527509193,0.039127371096029,0.041767842876719,,,
forestfires,0,10,1,0.5,0.1,0.9,,,,1,100,0.163090618175165,0.044458306069547,0.042005126293482,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,7,100,0.15741913506671,0.050274288990373,0.042299558000264,,,
forestfires,0,10,1,0.2,5,5,,,,1,10,0.176116960139882,0.051477297548745,0.042487957468494,,,
forestfires,0,10,1,0.2,0.5,5,,,,1,10,0.168909771066351,0.04577616753101,0.042607692666612,,,
forestfires,0,10,1,0.2,5,0.9,,,,7,100,0.14452253771935,0.049982151743062,0.042707778412231,,,
forestfires,0,10,1,0.5,5,0.9,,,,1,1000,0.207854018206792,0.065758324070043,0.042819214203968,,,
forestfires,0,10,1,0.2,5,0.5,,,,15,100,0.176124553499375,0.045046969232003,0.042912744467019,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,1,100,0.175353591302302,0.046042185989146,0.042979751992232,,,
forestfires,0,10,1,0.2,0.9,5,,,,1,10,0.165361927344819,0.045607077007366,0.042984881232009,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,1,100,0.174802927208707,0.042403776960578,0.04309159292204,,,
forestfires,0,10,1,0.5,5,0.1,,,,1,100,0.170441641018069,0.057702238638717,0.043280076336819,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,15,100,0.172299187370746,0.050681020336667,0.043429546321688,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,15,100,0.187150931398281,0.055473167185178,0.043499264429871,,,
forestfires,0,10,1,0.2,0.5,0.1,,,,7,100,0.147529944184077,0.049398326499412,0.043598538880931,,,
forestfires,0,10,1,0.5,5,0.1,,,,15,100,0.169171874466291,0.04870404942463,0.044218333439449,,,
forestfires,0,10,1,0.2,5,0.5,,,,7,100,0.157514545879196,0.055760825861978,0.044227599585546,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,1,100,0.181128205560482,0.057376615310035,0.044255080378822,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,7,100,0.153804847498786,0.046037233065388,0.044287077043012,,,
forestfires,0,10,1,0.2,0.5,0.1,,,,15,100,0.174027977926645,0.046318158327397,0.044312320411289,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,1,100,0.148935957761705,0.054023079132287,0.044820167567885,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,15,100,0.178316191642387,0.063633182917227,0.044963220923075,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,7,100,0.15775149213431,0.057611976733537,0.045062954754446,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,7,100,0.157500250162407,0.051823832257614,0.045790067486436,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,1,10,0.161689244679425,0.048073286088446,0.045884174463731,,,
forestfires,0,10,1,0.5,0.1,0.9,,,,7,1000,0.158151982155213,0.03762009201128,0.04589230717739,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,7,100,0.181700787117659,0.045959134780677,0.046265927544509,,,
forestfires,0,10,1,0.5,0.9,5,,,,1,1000,0.196731394197568,0.067291339371676,0.04637241528101,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,15,100,0.174237776368106,0.058485211356529,0.046406046352767,,,
forestfires,0,10,1,0.5,5,0.5,,,,15,1000,0.190400383589536,0.06941585960195,0.046574158631569,,,
forestfires,0,10,1,0.8,0.5,0.1,,,,1,100,0.143333762580739,0.051606959519432,0.046673752789698,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,15,100,0.17980167000755,0.053410881514769,0.047138428474032,,,
forestfires,0,10,1,0.8,0.5,0.1,,,,1,1000,0.151619478633089,0.036758170333371,0.04771252814731,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,1,10,0.174773469488371,0.048063696921328,0.047908508795692,,,
forestfires,0,10,1,0.2,5,0.1,,,,7,10,0.165802063861283,0.04327695775088,0.048184723124175,,,
