Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
machine,0,10,1,0.2,5,0.9,15,1000,0.054649833287418,0.007368235721735,0.005932628544567
machine,0,10,1,0.8,0.1,0.1,1,1000,0.042067259574304,0.003964800809922,0.005961007463015
machine,0,10,1,0.2,0.9,5,7,10,0.055145746118546,0.006738873327985,0.006109844752673
machine,0,10,1,0.5,0.9,0.5,1,1000,0.051736766889009,0.006107329802247,0.006143714591563
machine,0,10,1,0.8,0.9,0.1,1,1000,0.045280216863969,0.00421928152146,0.006187048415184
machine,0,10,1,0.5,0.1,0.5,7,1000,0.053402865536722,0.005516951506553,0.006235202018975
machine,0,10,1,0.5,0.5,0.5,7,1000,0.052126282094307,0.005715168572835,0.006285592707421
machine,0,10,1,0.8,0.1,0.5,1,1000,0.044044803331003,0.004605875311222,0.006287117354624
machine,0,10,1,0.8,0.5,0.1,1,100,0.051516212646076,0.005611004395471,0.0063972812876
machine,0,10,1,0.5,0.9,0.9,15,1000,0.03881528314419,0.006413439172079,0.006408137442587
machine,0,10,1,0.8,5,0.9,1,1000,0.043225999552023,0.004353806280965,0.006601748053244
machine,0,10,1,0.5,0.1,0.5,1,1000,0.049691436848393,0.005694061849461,0.006660852397468
machine,0,10,1,0.8,0.5,0.1,15,100,0.051709378943895,0.005916279582649,0.006662649763439
machine,0,10,1,0.5,0.1,0.5,7,100,0.05085770086977,0.007068471542472,0.006718027213768
machine,0,10,1,0.5,5,5,1,10,0.057172971838986,0.006363118352207,0.00675643667521
machine,0,10,1,0.2,0.9,0.9,7,1000,0.048577817152046,0.005786650240958,0.006917288971393
machine,0,10,1,0.2,0.1,0.9,15,1000,0.049745712427972,0.006877181459925,0.006960532795471
machine,0,10,1,0.5,0.5,0.5,1,1000,0.050420654229018,0.006664746102797,0.007127965900541
machine,0,10,1,0.8,0.5,0.9,1,1000,0.051803719550405,0.007139514824427,0.007167325818451
machine,0,10,1,0.2,0.5,0.9,7,1000,0.044392186780373,0.004861029980946,0.007185480097607
machine,0,10,1,0.2,0.1,0.9,7,1000,0.05130673345739,0.006155849548107,0.007331196993951
machine,0,10,1,0.2,0.5,5,7,1000,0.019889034652161,0.001209937434914,0.007429570758329
machine,0,10,1,0.5,5,5,1,100,0.061579535731546,0.009047595165762,0.007522021810896
machine,0,10,1,0.5,5,0.5,1,1000,0.059731227839637,0.007162646041744,0.007680067494718
machine,0,10,1,0.5,5,0.9,15,100,0.038123982791785,0.006048695513769,0.00771926138488
machine,0,10,1,0.2,0.9,5,1,10,0.051061848230193,0.006366946886265,0.007849898489371
machine,0,10,1,0.8,5,0.5,1,100,0.070835695684876,0.01538296896563,0.00788305243882
machine,0,10,1,0.2,0.9,5,15,10,0.085919585003591,0.01489805450831,0.00871115025778
machine,0,10,1,0.2,0.5,5,7,100,0.034012642018775,0.002629249336545,0.009010277947797
machine,0,10,1,0.8,0.5,5,1,1000,0.053479067482076,0.008620145201007,0.00936994361063
machine,0,10,1,0.5,0.5,5,1,100,0.048587146153023,0.006193784736152,0.009515340621069
machine,0,10,1,0.2,0.9,5,7,100,0.067094603655327,0.019510383970273,0.009766546433586
