Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average1,average2
abalone,0,0.1,0.9,3.0,1,100,500,0.07843685071827,0.011714881837795,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.07541308429836299,0.011675328743488,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.07412217622435299,0.010027918836717,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.067867684053722,0.008537373530633,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.07083566664171499,0.009437851792543,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.071139446693328,0.009012438133221,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.076620327477257,0.010436507194335,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.072072166286169,0.009717422321555,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.076021422979315,0.011460337935216,0.073667452375385,0.0102000377735278
abalone,0,0.1,0.9,3.0,1,100,500,0.074145698381358,0.009980317409775,0.073667452375385,0.0102000377735278
abalone,1,0.1,0.1,3.0,1,100,500,0.065366291348191,0.008561485405069,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.058119418520807986,0.006205279505821,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.056455776347855,0.006035256695679,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.060218907008925016,0.006680333073746,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.056350688561118,0.005602342221263001,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.052215407211845005,0.005139442645738,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.06280067039933901,0.007633200865788,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.055579621664325986,0.005835364010912,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.06717492974485,0.008498625083834,0.05917690255872871,0.006630231071456101
abalone,1,0.1,0.1,3.0,1,100,500,0.05748731478003,0.006110981206711,0.05917690255872871,0.006630231071456101
abalone,2,0.1,0.9,3.0,1,100,500,0.080083652343258,0.011736348832263,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.070319229415737,0.01186594170021,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.055461133469289,0.005654657421502,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.055561892854817,0.005675623981825,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.056586504401927,0.005690527578692,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.053200210067538,0.0051836868093050005,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.063866631056635,0.007966606861955999,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.06195372204440401,0.007362401104918,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.06461644068985001,0.008592217613265,0.0624810831695685,0.0076859148393408
abalone,2,0.1,0.9,3.0,1,100,500,0.06316141535223001,0.007131136489471998,0.0624810831695685,0.0076859148393408
Cancer,0,0.1,3.0,0.9,1,1000,500,88.57142857142858,88.57142857142858,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,86.16383616383621,85.71428571428571,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,88.63945578231291,88.57142857142858,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,84.6912662267249,84.28571428571429,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,85.8901515151515,85.71428571428571,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,90.1578586135896,90.0,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,88.9130434782609,88.57142857142858,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,90.03208556149728,90.0,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,88.7512487512488,88.57142857142858,87.60150193296695,87.40579710144928
Cancer,0,0.1,3.0,0.9,1,1000,500,84.204644665619,84.0579710144928,87.60150193296695,87.40579710144928
Cancer,1,0.4,0.9,0.1,1,1000,500,98.57535404777,98.57142857142858,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,98.5621810459979,98.57142857142858,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,98.56616166310378,98.57142857142858,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,91.58095238095241,91.42857142857142,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,95.74202829057779,95.7142857142857,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,97.1745738073213,97.1428571428571,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,95.74202829057779,95.7142857142857,96.02387161982534,95.99171842650104
