Data set,layers,pop,Beta,CR,generations,loss1,loss2,average1,average2
Cancer,0,500,0.5,0.8,500,87.3798680174737,87.1428571428571,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,88.6278195488722,88.5714285714286,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,90.2930160828376,90,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,91.5451895043732,91.4285714285714,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,93.0450697780828,92.8571428571429,87.3173524900245,87.1180124223602
Cancer,1,500,0.8,0.3,500,88.9130434782609,88.5714285714286,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,90.0432900432901,90,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,91.5809523809524,91.4285714285714,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,92.8009284444928,92.8571428571429,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,92.8644688644689,92.8571428571429,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,92.9393477416076,92.8571428571429,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,93.0450697780828,92.8571428571429,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,94.336507936508,94.2857142857143,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,94.3491476146425,94.2857142857143,92.6552603017445,92.5652173913044
Cancer,1,500,0.8,0.3,500,95.6798467351392,95.6521739130435,92.6552603017445,92.5652173913044
Cancer,2,500,0.8,0.1,500,92.8907826867011,92.8571428571429,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,92.9160250022647,92.8571428571429,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,92.9698990097069,92.8571428571429,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,94.3426501035197,94.2857142857143,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,95.7894736842105,95.7142857142857,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,97.1014492753623,97.1014492753623,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,97.1428571428571,97.1428571428571,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,97.1428571428571,97.1428571428571,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,97.1475371475372,97.1428571428571,95.6024207291876,95.5672877846791
Cancer,2,500,0.8,0.1,500,98.5806760968593,98.5714285714286,95.6024207291876,95.5672877846791
forestfires,0,500,0.2,0.1,500,0.130187105946054,0.02733561471261,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.139859723013686,0.027902376026241,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.140766702461789,0.032188105834099,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.14492237626422,0.031910986413651,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.157657593232665,0.040752115905475,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.16804844836428,0.040249041197625,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.183712444806864,0.05253268643048,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.18658551905616,0.050330407313065,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.19521468067632,0.064924625047654,0.165340867328301,0.044044562782139
forestfires,0,500,0.2,0.1,500,0.206454079460974,0.072319668940493,0.165340867328301,0.044044562782139
forestfires,1,500,0.2,0.3,500,0.146118540288031,0.030344258583665,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.147811422204019,0.032978991934067,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.147983756183747,0.027798739629815,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.149043326354217,0.034166588445418,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.151209766299328,0.033030318729856,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.156183219030477,0.035748307101562,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.175348164772023,0.052787622654528,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.175857812958288,0.050793962493715,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.180505200465378,0.045141654156243,0.163194130797644,0.040755416506663
forestfires,1,500,0.2,0.3,500,0.201880099420929,0.064763721337759,0.163194130797644,0.040755416506663
forestfires,2,500,0.8,0.1,500,0.136841231682178,0.024196526861125,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.144950298578984,0.029663262969628,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.145706258836702,0.027582093129034,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.154365114348388,0.038491284817013,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.154586199187327,0.034172544672054,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.155325216411656,0.038259861675623,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.1798944606125,0.053700645346669,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.186346139234704,0.046691202933807,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.187317301097274,0.052942738877432,0.16640433039695,0.042019181353413
forestfires,2,500,0.8,0.1,500,0.218711083979792,0.074491652251748,0.16640433039695,0.042019181353413
glass,0,500,0.2,0.1,500,38.3116883116883,40.9090909090909,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,43.6853002070393,47.6190476190476,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,43.9072039072039,47.6190476190476,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,49.1774891774892,52.3809523809524,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,57.4747474747475,59.0909090909091,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,57.5396825396825,61.9047619047619,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,58.1818181818182,59.0909090909091,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,65.1927437641723,66.6666666666667,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,66.4160401002506,66.6666666666667,55.5245565338733,57.9220779220779
glass,0,500,0.2,0.1,500,75.3588516746411,77.2727272727273,55.5245565338733,57.9220779220779
glass,1,500,0.2,0.8,500,39.1341991341991,40.9090909090909,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,42.3645320197044,57.1428571428571,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,44.4800950683304,50,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,47.4149659863946,57.1428571428571,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,50.9090909090909,54.5454545454545,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,52.1804511278196,57.1428571428571,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,60.8946608946609,61.9047619047619,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,63.6874236874237,71.4285714285714,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,63.7223094365952,66.6666666666667,54.099984947634,59.8701298701298
glass,1,500,0.2,0.8,500,76.2121212121212,81.8181818181818,54.099984947634,59.8701298701298
glass,2,500,0.5,0.1,500,21.1027568922306,38.0952380952381,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,26.1279461279461,40.9090909090909,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,26.2121212121212,36.3636363636364,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,32.4110671936759,45.4545454545455,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,36.0153256704981,52.3809523809524,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,39.8441558441558,50,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,42.5595238095238,52.3809523809524,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,46.4494569757728,52.3809523809524,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,47.009148486981,57.1428571428571,37.9107163588567,49.1774891774892
glass,2,500,0.5,0.1,500,61.3756613756614,66.6666666666667,37.9107163588567,49.1774891774892
machine,0,500,0.2,0.3,500,0.030187539325969,0.004386498197453,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.05052027208386,0.007015495834004,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.055945508704908,0.028060226956593,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.064422251115966,0.0080841489398,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.068923849631305,0.014982462462576,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.069827954078951,0.013805128747438,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.073318998105323,0.013019329059223,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.076194742467106,0.023231396383487,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.096344258672092,0.054795385870922,0.070901632944434,0.022581251683691
machine,0,500,0.2,0.3,500,0.123330955258859,0.058432444385411,0.070901632944434,0.022581251683691
machine,1,500,0.2,0.8,500,0.00286202017261,2.56663739518401E-05,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.003965288387781,3.41313646055028E-05,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.005271155176904,7.2502115539529E-05,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.005330049043733,5.46735934990377E-05,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.006990719322536,0.000108342350517,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.007915441595705,0.000204038650471,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.00858314041324,0.000285940154126,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.016176609536868,0.002401790387305,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.016906373491173,0.003370303958751,0.010157739470796,0.001947547707363
machine,1,500,0.2,0.8,500,0.027576597567414,0.012918088124866,0.010157739470796,0.001947547707363
machine,2,500,0.2,0.8,500,0.005258632053716,6.33988281978663E-05,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.008739014337539,0.000108773789761,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.00966579863951,0.000169493931408,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.009764116449954,0.000255662301711,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.009765316344628,0.000181161264562,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.010113540876331,0.000171609294843,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.015813106510095,0.000973004515939,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.031366265005231,0.006434255808307,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.033862141323005,0.01288419553894,0.018191536755727,0.002781832093774
machine,2,500,0.2,0.8,500,0.047567436017257,0.006576765664067,0.018191536755727,0.002781832093774
soybean,0,500,0.8,0.1,500,78.6666666666667,80,96.2,95.5
soybean,0,500,0.8,0.1,500,83.3333333333333,75,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,0,500,0.8,0.1,500,100,100,96.2,95.5
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,1,500,0.2,0.8,500,100,100,100,100
soybean,2,500,0.8,0.8,500,50,50,92.3,90.5
soybean,2,500,0.8,0.8,500,85,75,92.3,90.5
soybean,2,500,0.8,0.8,500,88,80,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
soybean,2,500,0.8,0.8,500,100,100,92.3,90.5
