Data set,layers,pop,Beta,CR,generations,loss1,loss2,average
forestfires,2,500,0.5,0.1,500,0.170744529143235,0.043730848108574,0.044496146771093
glass,0,500,0.8,0.8,500,35.7914812460267,31.8181818181818,37.8787878787879
glass,0,500,0.8,0.3,500,45.5627705627706,50,45.4545454545454
glass,0,500,0.2,0.3,500,43.7645687645688,50,46.969696969697
glass,0,500,0.8,0.1,500,47.4517906336088,50,48.4848484848485
glass,0,500,0.5,0.3,500,41.3911845730028,45.4545454545455,50
glass,0,500,0.5,0.1,500,37.4557260920897,40.9090909090909,51.5151515151515
glass,0,500,0.5,0.8,500,50.2352719744024,54.5454545454545,56.060606060606
glass,0,500,0.2,0.8,500,50.7575757575758,54.5454545454545,59.0909090909091
glass,0,500,0.2,0.1,500,44.5221445221445,50,59.0909090909091
glass,1,500,0.5,0.3,500,33.6206896551724,50,40.9090909090909
glass,1,500,0.2,0.3,500,21.1279461279461,36.3636363636364,42.4242424242424
glass,1,500,0.8,0.3,500,33.6206896551724,50,46.969696969697
glass,1,500,0.5,0.8,500,33.6206896551724,50,50
glass,1,500,0.8,0.1,500,21.1279461279461,36.3636363636364,50
glass,1,500,0.2,0.1,500,49.1963109354414,54.5454545454545,53.030303030303
glass,1,500,0.8,0.8,500,49.9234771962045,59.0909090909091,53.030303030303
glass,1,500,0.5,0.1,500,52.9932189023098,54.5454545454545,54.5454545454545
glass,1,500,0.2,0.8,500,61.4906832298137,63.6363636363636,59.0909090909091
glass,2,500,0.8,0.3,500,19.3939393939394,36.3636363636364,33.3333333333334
glass,2,500,0.5,0.8,500,35.4978354978355,50,34.8484848484849
glass,2,500,0.2,0.1,500,34.6399055489965,40.9090909090909,39.3939393939394
glass,2,500,0.8,0.8,500,37.406321277289,50,39.3939393939394
glass,2,500,0.2,0.8,500,33.6206896551724,50,40.9090909090909
glass,2,500,0.5,0.3,500,41.8220668220668,50,40.9090909090909
glass,2,500,0.2,0.3,500,33.6206896551724,50,42.4242424242424
glass,2,500,0.8,0.1,500,33.3333333333333,50,43.939393939394
glass,2,500,0.5,0.1,500,33.3333333333333,50,48.4848484848485
machine,0,500,0.2,0.3,500,0.044595093583793,0.006490221860315,0.008721487606372
machine,0,500,0.5,0.8,500,0.046118094172217,0.006565211653344,0.012210301300084
machine,0,500,0.8,0.1,500,0.044987442971843,0.00629101803624,0.013495871413367
machine,0,500,0.5,0.3,500,0.038942063978606,0.005543520017908,0.014340001454939
machine,0,500,0.5,0.1,500,0.042093067428251,0.005958687206743,0.014378513339107
machine,0,500,0.8,0.3,500,0.039502956677827,0.005867710102297,0.015086089806582
machine,0,500,0.2,0.1,500,0.046251240309864,0.006572019770252,0.015854433117587
machine,0,500,0.2,0.8,500,0.064994604692697,0.012889890808887,0.022386947563586
machine,0,500,0.8,0.8,500,0.089475528559322,0.049754302002969,0.030288261941713
machine,1,500,0.2,0.8,500,0.002403565881736,2.53574993116303E-05,0.000100742686136
machine,1,500,0.2,0.1,500,0.02158364840408,0.000896536631928,0.00130306393261
