Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2,average
Cancer,2,500,500,0.2,10,0.2,95.7142857142857,95.653734021081,96.2036645212355
Cancer,2,500,500,0.8,10,0.2,95.7142857142857,95.653734021081,96.2036645212355
Cancer,2,500,500,0.8,10,0.5,97.1428571428571,97.1428571428571,96.7000388951608
Cancer,2,500,500,0.2,10,0.5,97.1428571428571,97.1174603174603,97.1557334930894
Cancer,2,500,500,0.5,10,0.5,97.1428571428571,97.1428571428571,97.164199101555
Cancer,2,500,500,0.5,10,0.2,98.5714285714286,98.5654486513707,97.1742360646654
forestfires,0,500,500,0.2,10,0.5,0.156415274303243,0.038031728217517,0.036537301595505
forestfires,0,500,500,0.2,10,0.2,0.156802346434346,0.038160070198291,0.036922155118724
forestfires,0,500,500,0.5,10,0.2,0.156379104029092,0.03795080563879,0.037647899084189
forestfires,0,500,500,0.8,10,0.2,0.16357520813839,0.039037825798946,0.037929338120531
forestfires,0,500,500,0.5,10,0.5,0.156661570070672,0.038508385297621,0.039030057597085
forestfires,0,500,500,0.8,10,0.5,0.159071573480155,0.039772085979821,0.040313403941824
forestfires,1,500,500,0.5,10,0.2,0.155788260686053,0.038320374108033,0.037186074606819
forestfires,1,500,500,0.5,10,0.5,0.160211602969977,0.039846203230119,0.037331473373614
forestfires,1,500,500,0.8,10,0.5,0.162657369893304,0.040253801559512,0.037386829477977
forestfires,1,500,500,0.8,10,0.2,0.155808278389605,0.039637603142521,0.037388494769388
forestfires,1,500,500,0.2,10,0.5,0.158345984516239,0.038344723064923,0.03747124472567
forestfires,1,500,500,0.2,10,0.2,0.157460352599709,0.037589529582996,0.037991886357914
forestfires,2,500,500,0.2,10,0.5,0.156024431302927,0.037655874402146,0.036577282410298
forestfires,2,500,500,0.5,10,0.5,0.157992032298523,0.040051585713725,0.037953128390401
forestfires,2,500,500,0.2,10,0.2,0.162074629117958,0.039838601184136,0.03871293912728
forestfires,2,500,500,0.8,10,0.5,0.164665152541691,0.040498363844942,0.039152982259462
forestfires,2,500,500,0.5,10,0.2,0.168964081430998,0.042533586895363,0.039529843634593
forestfires,2,500,500,0.8,10,0.2,0.159430827650548,0.04084520354251,0.039788931755741
glass,0,500,500,0.8,10,0.2,40.9090909090909,37.5844001512451,49.0264498820649
glass,0,500,500,0.8,10,0.5,45.4545454545455,38.6868686868687,50.8730475177844
glass,0,500,500,0.2,10,0.5,50,46.9407597749844,52.110717565263
glass,0,500,500,0.5,10,0.5,54.5454545454545,49.3506493506493,54.1656056361939
glass,0,500,500,0.2,10,0.2,50,48.0519480519481,54.8353839143313
