Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average
Cancer,2,0.1,0.1,0.1,1,1000,500,92.8109052299894,92.8571428571429,96
Cancer,2,0.4,0.1,3,1,1000,500,97.1428571428571,97.1428571428571,96
Cancer,2,0.4,0.5,3,1,1000,500,97.1428571428571,97.1428571428571,96
Cancer,2,0.1,0.9,0.1,1,1000,500,95.6865431379936,95.7142857142857,96.2857142857143
Cancer,2,0.4,0.5,0.1,1,1000,500,97.1428571428571,97.1428571428571,96.2857142857143
Cancer,2,0.4,0.9,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.2857142857143
Cancer,2,0.4,0.9,3,1,1000,500,97.1428571428571,97.1428571428571,96.2857142857143
Cancer,2,0.4,3,3,1,1000,500,97.1745738073213,97.1428571428571,96.2857142857143
Cancer,2,0.1,0.5,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.5714285714286
Cancer,2,0.1,0.9,3,1,1000,500,94.2857142857143,94.2857142857143,96.5714285714286
Cancer,2,0.4,0.1,0.1,1,1000,500,95.7819394058241,95.7142857142857,96.5714285714286
Cancer,2,0.1,0.1,3,1,1000,500,97.1745738073213,97.1428571428571,96.8571428571429
Cancer,2,0.1,0.5,3,1,1000,500,97.1745738073213,97.1428571428571,96.8571428571429
Cancer,2,0.1,3,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.8571428571429
Cancer,2,0.4,0.9,0.1,1,1000,500,98.5797827903091,98.5714285714286,96.8571428571429
Cancer,2,0.4,0.9,0.9,1,1000,500,94.2079689018465,94.2857142857143,96.8571428571429
Cancer,2,0.1,0.1,0.5,1,1000,500,97.1745738073213,97.1428571428571,97.1428571428571
Cancer,2,0.1,0.9,0.9,1,1000,500,95.6865431379936,95.7142857142857,97.1428571428571
Cancer,2,0.1,3,3,1,1000,500,97.1428571428571,97.1428571428571,97.1428571428571
Cancer,2,0.4,0.1,0.5,1,1000,500,97.1428571428571,97.1428571428571,97.1428571428571
Cancer,2,0.4,0.5,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.1428571428571
Cancer,2,0.4,0.5,0.9,1,1000,500,94.2857142857143,94.2857142857143,97.1428571428571
Cancer,2,0.1,0.1,0.9,1,1000,500,97.1428571428571,97.1428571428571,97.4285714285714
Cancer,2,0.1,0.5,0.1,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,2,0.1,3,0.1,1,1000,500,95.7819394058241,95.7142857142857,97.4285714285714
Cancer,2,0.4,3,0.1,1,1000,500,97.1428571428571,97.1428571428571,97.4285714285714
Cancer,2,0.4,3,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,2,0.1,0.5,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,2,0.1,0.9,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,2,0.1,3,0.9,1,1000,500,97.1428571428571,97.1428571428571,97.7142857142857
Cancer,2,0.4,0.1,0.9,1,1000,500,97.1745738073213,97.1428571428571,97.7142857142857
Cancer,2,0.4,3,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
forestfires,0,0.4,0.5,0.5,1,1000,500,0.134332854877458,0.024638942447617,0.0383748602591
forestfires,0,0.1,0.9,3,1,1000,500,0.140987958909186,0.025572015225605,0.038432191913755
forestfires,0,0.1,3,3,1,1000,500,0.140731380045226,0.025523031840859,0.038564598687318
forestfires,0,0.1,0.1,3,1,1000,500,0.141730847744861,0.025757192273268,0.038591814859751
forestfires,0,0.1,0.5,3,1,1000,500,0.14230078622105,0.025971598624973,0.038598719968115
forestfires,0,0.4,3,0.9,1,1000,500,0.142643334105122,0.026298489573229,0.03860189516776
forestfires,0,0.4,0.9,0.1,1,1000,500,0.133489085928587,0.024998088160852,0.038687225087612
forestfires,0,0.4,0.1,0.9,1,1000,500,0.141706696900534,0.026052442391442,0.038728166224114
forestfires,0,0.1,0.1,0.1,1,1000,500,0.139826649806042,0.025517667153584,0.038791392897531
forestfires,0,0.1,3,0.1,1,1000,500,0.142819492804194,0.026720312934788,0.038877372766106
forestfires,0,0.4,0.1,3,1,1000,500,0.142331108598486,0.025667831375553,0.038993635496852
forestfires,0,0.1,0.5,0.5,1,1000,500,0.136639128053325,0.02503990234521,0.039128103137287
forestfires,0,0.1,0.9,0.1,1,1000,500,0.140393769513497,0.027322184312906,0.039130413447871
forestfires,0,0.1,0.9,0.9,1,1000,500,0.139089426228187,0.025558845566235,0.039173768933852
forestfires,0,0.4,3,0.1,1,1000,500,0.139613224853284,0.025844515001144,0.039216277885686
forestfires,0,0.4,0.9,0.9,1,1000,500,0.139542553780342,0.025866454960974,0.039269005432951
forestfires,0,0.4,0.9,0.5,1,1000,500,0.142833129541829,0.02563443437938,0.0392768562645
forestfires,0,0.1,0.1,0.9,1,1000,500,0.142943447737922,0.027700617165581,0.039303229314759
forestfires,0,0.4,0.1,0.1,1,1000,500,0.143342349857819,0.026536985454525,0.039325747873176
forestfires,0,0.4,0.5,0.1,1,1000,500,0.141447154071641,0.026026796824937,0.039338007561611
forestfires,0,0.1,0.9,0.5,1,1000,500,0.143723359899548,0.026985891379663,0.039413786465856
forestfires,0,0.1,0.5,0.9,1,1000,500,0.148539907419241,0.028660303932858,0.039536951057689
forestfires,0,0.1,0.5,0.1,1,1000,500,0.144198090517109,0.028686775629473,0.039645025063588
forestfires,0,0.1,3,0.5,1,1000,500,0.134198582306716,0.025008767710991,0.03980614801378
forestfires,0,0.1,3,0.9,1,1000,500,0.14448632046064,0.027302622566776,0.039861571770309
forestfires,0,0.4,3,0.5,1,1000,500,0.137397173859649,0.025333600972662,0.040070422140091
forestfires,0,0.4,0.1,0.5,1,1000,500,0.141265134803738,0.027057514852929,0.040198494056724
forestfires,0,0.1,0.1,0.5,1,1000,500,0.147913402870552,0.0295917954961,0.040376028800895
