Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2
abalone,0,500,500,0.2,10,0.2,0.080035688384248,0.011725857565588
abalone,0,500,500,0.2,10,0.2,0.074582853654225,0.010957288366891
abalone,0,500,500,0.2,10,0.2,0.077125971412238,0.010806158501062
abalone,0,500,500,0.2,10,0.5,0.083157887826913,0.013206061279396
abalone,0,500,500,0.2,10,0.5,0.078500925216096,0.011267285663065
abalone,0,500,500,0.2,10,0.5,0.07742444799789,0.010698135668753
abalone,0,500,500,0.5,10,0.2,0.074925743449311,0.010706778363438
abalone,0,500,500,0.5,10,0.2,0.07397620003348,0.010746114267827
abalone,0,500,500,0.5,10,0.2,0.07693776780507,0.011000796869354
abalone,0,500,500,0.5,10,0.5,0.075404383981011,0.010980498986688
abalone,0,500,500,0.5,10,0.5,0.074099083887539,0.010762528327401
abalone,0,500,500,0.5,10,0.5,0.073339324065898,0.010273437022231
abalone,0,500,500,0.8,10,0.2,0.07830502085797,0.011649887536654
abalone,0,500,500,0.8,10,0.2,0.074095462880986,0.010690331978589
abalone,0,500,500,0.8,10,0.2,0.075907202992451,0.010742345005882
abalone,0,500,500,0.8,10,0.5,0.081133807489169,0.012192825113845
abalone,0,500,500,0.8,10,0.5,0.076228352478965,0.010786935558281
abalone,0,500,500,0.8,10,0.5,0.081943721043357,0.011663262689192
abalone,1,500,500,0.2,10,0.2,0.058410578254795,0.00699827833318
abalone,1,500,500,0.2,10,0.2,0.05747221118421,0.006715679108027
abalone,1,500,500,0.2,10,0.2,0.057411403767681,0.006061825288433
abalone,1,500,500,0.2,10,0.5,0.058979961298454,0.00725438754402
abalone,1,500,500,0.2,10,0.5,0.056726058019044,0.00641617980976
abalone,1,500,500,0.2,10,0.5,0.056518111844242,0.00595546871354
abalone,1,500,500,0.5,10,0.2,0.059119374263896,0.007111893928849
abalone,1,500,500,0.5,10,0.2,0.058978750276561,0.006864799976934
abalone,1,500,500,0.5,10,0.2,0.057507973780256,0.005946159370059
abalone,1,500,500,0.5,10,0.5,0.058470646416049,0.007288526919112
abalone,1,500,500,0.5,10,0.5,0.058580869754304,0.006917271938882
abalone,1,500,500,0.5,10,0.5,0.05854266925789,0.006112695915011
abalone,1,500,500,0.8,10,0.2,0.057489081304721,0.006988511920255
abalone,1,500,500,0.8,10,0.2,0.057984810958791,0.006717004653315
abalone,1,500,500,0.8,10,0.2,0.05636567505353,0.005871688188793
abalone,1,500,500,0.8,10,0.5,0.058335023173429,0.007030048325044
abalone,1,500,500,0.8,10,0.5,0.057532126056915,0.006793208828762
abalone,1,500,500,0.8,10,0.5,0.058055967581128,0.006218515263499
abalone,2,500,500,0.2,10,0.2,0.058258509867988,0.006686535613243
abalone,2,500,500,0.2,10,0.2,0.054288073163643,0.006079004794276
abalone,2,500,500,0.2,10,0.2,0.056552956318094,0.005930430020542
abalone,2,500,500,0.2,10,0.5,0.05908723010336,0.007345991048145
abalone,2,500,500,0.2,10,0.5,0.056709709431608,0.006589734945977
abalone,2,500,500,0.2,10,0.5,0.054004570909476,0.005473107350672
abalone,2,500,500,0.5,10,0.2,0.059140020841998,0.007252226841682
abalone,2,500,500,0.5,10,0.2,0.057461411841425,0.006754035292888
abalone,2,500,500,0.5,10,0.2,0.056842531628607,0.005980405956804
abalone,2,500,500,0.5,10,0.5,0.059451190790751,0.006749765414491
abalone,2,500,500,0.5,10,0.5,0.060524995118783,0.007061010039644
abalone,2,500,500,0.5,10,0.5,0.054677255894677,0.005819064172821
abalone,2,500,500,0.8,10,0.2,0.05786528808302,0.006963659285879
abalone,2,500,500,0.8,10,0.2,0.05680399542946,0.006630255434377
abalone,2,500,500,0.8,10,0.2,0.05836852494058,0.006238251513556
abalone,2,500,500,0.8,10,0.5,0.059015620671037,0.0071255050201
abalone,2,500,500,0.8,10,0.5,0.058841492737363,0.006737038071801
abalone,2,500,500,0.8,10,0.5,0.056727195622368,0.00570983320736
Cancer,0,500,500,0.2,10,0.2,91.4285714285714,91.4876338132152
Cancer,0,500,500,0.2,10,0.2,88.5714285714286,88.8528138528138
Cancer,0,500,500,0.2,10,0.2,80,80.3146853146853
