Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,60.0,58.666666666666664
soybean,1,0.5,0.5,1,7,1000,60.0,60.0
soybean,2,0.5,0.9,0.1,7,1000,0.0,0.0
soybean,0,0.5,0.1,5,7,1000,20.0,30.0
soybean,1,0.5,0.5,1,7,1000,20.0,6.666666666666668
soybean,2,0.5,0.9,0.1,7,1000,20.0,24.000000000000004
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,80.0,78.66666666666667
soybean,1,0.5,0.5,1,7,1000,100.0,100.0
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
soybean,1,0.5,0.5,1,7,1000,80.0,86.66666666666666
soybean,2,0.5,0.9,0.1,7,1000,60.0,60.0
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
soybean,1,0.5,0.5,1,7,1000,100.0,100.0
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,80.0,71.42857142857142
soybean,1,0.5,0.5,1,7,1000,80.0,71.42857142857142
soybean,2,0.5,0.9,0.1,7,1000,60.0,60.0
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
soybean,1,0.5,0.5,1,7,1000,80.0,88.00000000000001
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
soybean,1,0.5,0.5,1,7,1000,80.0,88.00000000000001
soybean,2,0.5,0.9,0.1,7,1000,100.0,100.0
Data set,layers,omega,c1,c2,vmax,pop_size,loss1,loss2,
soybean,0,0.5,0.1,5,7,1000,100.0,100.0
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
soybean,0,840,0.75,0.2,100,100.0,100.0
soybean,1,1750,0.75,0.2,100,60.0,52.0
soybean,2,2790,0.75,0.2,100,80.0,72.0
soybean,0,840,0.75,0.2,100,100.0,100.0
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
soybean,0,840,0.5,0.6,100,100.0,100.0
soybean,1,1750,0.5,0.6,100,80.0,80.0
Data set,layers,pop,Beta,CR,generations,loss1,loss2,
