Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,0,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,46.666666666666664,60.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,78.66666666666667,80.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,1,0.4,3,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,78.66666666666667,80.0
soybean,2,0.4,0.9,3,1,1000,500,80.0,80.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,33.33333333333333,25.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,83.33333333333333,75.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
soybean,2,0.4,0.9,3,1,1000,500,100.0,100.0
glass,0,0.1,0.5,3,1,1000,500,49.506493506493506,50.0
glass,1,0.1,3,3,1,1000,500,58.16317016317015,59.09090909090909
glass,0,0.1,0.5,3,1,1000,500,49.13419913419913,54.54545454545454
glass,0,0.1,0.5,3,1,1000,500,75.76544667453757,77.27272727272727
glass,0,0.1,0.5,3,1,1000,500,51.527883880825065,50.0
glass,0,0.1,0.5,3,1,1000,500,64.30361618331544,66.66666666666666
glass,0,0.1,0.5,3,1,1000,500,73.67346938775509,76.19047619047619
glass,0,0.1,0.5,3,1,1000,500,53.846153846153854,57.14285714285714
glass,0,0.1,0.5,3,1,1000,500,62.116402116402114,61.904761904761905
glass,1,0.1,3,3,1,1000,500,71.71717171717172,72.72727272727273
glass,1,0.1,3,3,1,1000,500,46.17918313570487,54.54545454545454
glass,1,0.1,3,3,1,1000,500,66.57754010695189,68.18181818181817
glass,0,0.1,0.5,3,1,1000,500,64.14696414696414,66.66666666666666
glass,0,0.1,0.5,3,1,1000,500,43.02364302364302,47.61904761904761
Cancer,0,0.1,3,0.9,1,1000,500,88.57142857142857,88.57142857142857
glass,1,0.1,3,3,1,1000,500,58.81352541016407,61.904761904761905
glass,1,0.1,3,3,1,1000,500,57.923169267707074,61.904761904761905
glass,1,0.1,3,3,1,1000,500,59.62508080155138,61.904761904761905
glass,2,0.1,0.1,3,1,1000,500,49.73350101808599,54.54545454545454
glass,2,0.1,0.1,3,1,1000,500,48.1404958677686,50.0
glass,2,0.1,0.1,3,1,1000,500,59.33014354066985,63.63636363636363
glass,2,0.1,0.1,3,1,1000,500,68.62258953168045,72.72727272727273
glass,1,0.1,3,3,1,1000,500,59.62555962555962,61.904761904761905
glass,1,0.1,3,3,1,1000,500,63.769563769563774,71.42857142857143
glass,1,0.1,3,3,1,1000,500,65.82010582010582,66.66666666666666
glass,2,0.1,0.1,3,1,1000,500,58.81352541016407,61.904761904761905
glass,2,0.1,0.1,3,1,1000,500,70.26455026455027,76.19047619047619
glass,2,0.1,0.1,3,1,1000,500,59.62508080155138,61.904761904761905
Cancer,1,0.4,0.9,0.1,1,1000,500,98.57535404777002,98.57142857142858
Cancer,0,0.1,3,0.9,1,1000,500,86.16383616383615,85.71428571428571
glass,2,0.1,0.1,3,1,1000,500,57.54985754985755,57.14285714285714
glass,2,0.1,0.1,3,1,1000,500,57.6090576090576,66.66666666666666
glass,2,0.1,0.1,3,1,1000,500,54.761904761904766,57.14285714285714
Cancer,0,0.1,3,0.9,1,1000,500,88.63945578231292,88.57142857142857
Cancer,0,0.1,3,0.9,1,1000,500,84.69126622672492,84.28571428571429
forestfires,0,0.4,0.5,0.5,1,1000,500,0.16808586300166536,0.051370076022812794
forestfires,0,0.4,0.5,0.5,1,1000,500,0.1688962317367845,0.03872777009725069
Cancer,0,0.1,3,0.9,1,1000,500,85.8901515151515,85.71428571428571
Cancer,0,0.1,3,0.9,1,1000,500,90.15785861358958,90.0
Cancer,1,0.4,0.9,0.1,1,1000,500,98.56218104599789,98.57142857142858
Cancer,2,0.4,3,0.5,1,1000,500,98.57535404777002,98.57142857142858
Cancer,0,0.1,3,0.9,1,1000,500,88.91304347826086,88.57142857142857
forestfires,0,0.4,0.5,0.5,1,1000,500,0.1546520173341946,0.029608575327981307
Cancer,0,0.1,3,0.9,1,1000,500,90.03208556149733,90.0
Cancer,1,0.4,0.9,0.1,1,1000,500,98.56616166310376,98.57142857142858
Cancer,0,0.1,3,0.9,1,1000,500,88.75124875124875,88.57142857142857
forestfires,0,0.4,0.5,0.5,1,1000,500,0.17603863961561372,0.05236049714099833
Cancer,1,0.4,0.9,0.1,1,1000,500,91.58095238095237,91.42857142857143
