Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2
Cancer,0,0.4,0.1,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.1,0.9,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.1,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.1,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.1,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.1,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.1,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.1,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.1,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.1,3,1,1000,500,90.2092972020269,90
Cancer,0,0.4,0.1,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.5,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.4,0.5,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.5,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.4,0.5,0.1,1,1000,500,90.2580785079159,90
Cancer,0,0.4,0.5,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.5,0.5,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.4,0.5,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.5,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.5,0.5,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.5,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.5,0.9,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.5,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.5,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.5,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.5,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.5,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.5,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.5,3,1,1000,500,88.6394557823129,88.5714285714286
Cancer,0,0.4,0.5,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.5,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.9,0.1,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.4,0.9,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.9,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.4,0.9,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.9,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.9,0.5,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.9,0.5,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.9,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.9,0.5,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.9,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.9,0.9,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.9,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,0.9,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.9,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.9,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.9,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.9,3,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.9,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.9,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,0.9,3,1,1000,500,88.7444431094557,88.5714285714286
Cancer,0,0.4,3,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.4,3,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,3,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.4,3,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,3,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,3,0.5,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,3,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,3,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,3,0.5,1,1000,500,90.2580785079159,90
Cancer,0,0.4,3,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,3,0.9,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.4,3,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.4,3,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,3,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.4,3,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,3,3,1,1000,500,83.3966033966034,82.8571428571429
Cancer,0,0.4,3,3,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,3,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,3,3,1,1000,500,88.6853002070393,88.5714285714286
Cancer,0,0.4,3,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,1,0.1,0.1,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.1,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.1,0.1,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.1,0.1,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,0.5,1,1000,500,97.1745738073213,97.1428571428571
Cancer,1,0.1,0.1,0.5,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.1,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.1,0.5,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,0.1,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.1,0.9,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,0.9,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.1,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.1,0.9,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,0.1,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.1,3,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.1,3,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.1,0.1,3,1,1000,500,95.696345954112,95.7142857142857
Cancer,1,0.1,0.5,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.5,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.5,0.1,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.1,0.5,0.1,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.1,0.5,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.5,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.5,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.5,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.5,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.5,0.5,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,0.5,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.5,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.5,0.9,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.5,0.9,1,1000,500,95.7748374074905,95.7142857142857
Cancer,1,0.1,0.5,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,1,0.1,0.5,3,1,1000,500,95.7393483709273,95.7142857142857
Cancer,1,0.1,0.5,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.5,3,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.5,3,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.5,3,1,1000,500,94.2349206349207,94.2857142857143
Cancer,1,0.1,0.9,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.9,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.9,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.9,0.1,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.9,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.9,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.9,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.9,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,0.9,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,0.9,0.5,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,0.9,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,0.9,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.9,0.9,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.1,0.9,0.9,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.1,0.9,0.9,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,0.9,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.9,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,0.9,3,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.1,0.9,3,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.1,0.9,3,1,1000,500,94.2349206349207,94.2857142857143
Cancer,1,0.1,3,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,3,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,3,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,3,0.1,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,3,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,3,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.1,3,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,3,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,3,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,3,0.5,1,1000,500,95.696345954112,95.7142857142857
Cancer,1,0.1,3,0.9,1,1000,500,97.1745738073213,97.1428571428571
Cancer,1,0.1,3,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,3,0.9,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.1,3,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,3,0.9,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.1,3,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.1,3,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.1,3,3,1,1000,500,95.6604664337645,95.7142857142857
Cancer,1,0.1,3,3,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.1,3,3,1,1000,500,95.696345954112,95.7142857142857
Cancer,1,0.4,0.1,0.1,1,1000,500,97.1745738073213,97.1428571428571
Cancer,1,0.4,0.1,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.1,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.1,0.1,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.1,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.1,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.1,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.1,0.5,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.1,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.1,0.5,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.1,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.1,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.1,0.9,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.1,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.1,0.9,1,1000,500,91.3523809523809,91.4285714285714
Cancer,1,0.4,0.1,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.1,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.1,3,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.1,3,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.1,3,1,1000,500,95.696345954112,95.7142857142857
Cancer,1,0.4,0.5,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.5,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.5,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.5,0.1,1,1000,500,95.7748374074905,95.7142857142857
Cancer,1,0.4,0.5,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.5,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.5,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.5,0.5,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.5,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.5,0.5,1,1000,500,95.696345954112,95.7142857142857
Cancer,1,0.4,0.5,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.5,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.5,0.9,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.5,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.5,0.9,1,1000,500,94.2349206349207,94.2857142857143
Cancer,1,0.4,0.5,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.5,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.5,3,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.5,3,1,1000,500,94.3426501035197,94.2857142857143
Cancer,1,0.4,0.5,3,1,1000,500,94.2349206349207,94.2857142857143
Cancer,1,0.4,0.9,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.9,0.1,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.9,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.9,0.1,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.9,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.9,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.9,0.5,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.9,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.9,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.9,0.5,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.9,0.9,1,1000,500,97.1745738073213,97.1428571428571
Cancer,1,0.4,0.9,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.9,0.9,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,0.9,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,0.9,0.9,1,1000,500,95.7300864392602,95.7142857142857
Cancer,1,0.4,0.9,3,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,0.9,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,0.9,3,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,0.9,3,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.4,0.9,3,1,1000,500,94.2349206349207,94.2857142857143
Cancer,1,0.4,3,0.1,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,3,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,3,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,3,0.1,1,1000,500,94.3426501035197,94.2857142857143
Cancer,1,0.4,3,0.1,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,3,0.5,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,3,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,3,0.5,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,3,0.5,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,3,0.5,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,3,0.9,1,1000,500,98.5797827903091,98.5714285714286
Cancer,1,0.4,3,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,3,0.9,1,1000,500,98.5661616631038,98.5714285714286
Cancer,1,0.4,3,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,1,0.4,3,0.9,1,1000,500,94.2857142857143,94.2857142857143
Cancer,1,0.4,3,3,1,1000,500,97.1428571428571,97.1428571428571
Cancer,1,0.4,3,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,1,0.4,3,3,1,1000,500,97.1203796203796,97.1428571428571
Cancer,1,0.4,3,3,1,1000,500,95.7368369447985,95.7142857142857
Cancer,1,0.4,3,3,1,1000,500,94.2349206349207,94.2857142857143
Cancer,2,0.1,0.1,0.1,1,1000,500,92.8109052299894,92.8571428571429
Cancer,2,0.1,0.1,0.1,1,1000,500,95.6836659275684,95.7142857142857
Cancer,2,0.1,0.1,0.1,1,1000,500,98.5661616631038,98.5714285714286
Cancer,2,0.1,0.1,0.1,1,1000,500,97.1713250517598,97.1428571428571
Cancer,2,0.1,0.1,0.1,1,1000,500,95.696345954112,95.7142857142857
Cancer,2,0.1,0.1,0.5,1,1000,500,97.1745738073213,97.1428571428571
Cancer,2,0.1,0.1,0.5,1,1000,500,98.5806760968593,98.5714285714286
Cancer,2,0.1,0.1,0.5,1,1000,500,98.5661616631038,98.5714285714286
Cancer,2,0.1,0.1,0.5,1,1000,500,95.7368369447985,95.7142857142857
Cancer,2,0.1,0.1,0.5,1,1000,500,95.7300864392602,95.7142857142857
Cancer,2,0.1,0.1,0.9,1,1000,500,97.1428571428571,97.1428571428571
Cancer,2,0.1,0.1,0.9,1,1000,500,98.5806760968593,98.5714285714286
Cancer,2,0.1,0.1,0.9,1,1000,500,97.1203796203796,97.1428571428571
Cancer,2,0.1,0.1,0.9,1,1000,500,97.1713250517598,97.1428571428571
Cancer,2,0.1,0.1,0.9,1,1000,500,97.1428571428571,97.1428571428571
Cancer,2,0.1,0.1,3,1,1000,500,97.1745738073213,97.1428571428571
Cancer,2,0.1,0.1,3,1,1000,500,98.5806760968593,98.5714285714286
Cancer,2,0.1,0.1,3,1,1000,500,98.5661616631038,98.5714285714286
Cancer,2,0.1,0.1,3,1,1000,500,95.7748374074905,95.7142857142857
Cancer,2,0.1,0.1,3,1,1000,500,94.2349206349207,94.2857142857143
