Data set,layers,pop,Beta,CR,generations,loss1,loss2
abalone,0,100,0.2,0.1,500,0.076437886170463,0.011003634386018
abalone,0,100,0.2,0.1,500,0.08426592453584,0.012720900427683
abalone,0,100,0.2,0.1,500,0.078919547085721,0.011425469148945
abalone,0,100,0.2,0.3,500,0.075047286910559,0.010525877525904
abalone,0,100,0.2,0.3,500,0.077229951843633,0.011241979197309
abalone,0,100,0.2,0.3,500,0.073485513956503,0.010006001155331
abalone,0,100,0.2,0.8,500,0.074269360156782,0.010166895567951
abalone,0,100,0.2,0.8,500,0.07692181732539,0.011127361912851
abalone,0,100,0.2,0.8,500,0.073962652022335,0.010003137649796
abalone,0,100,0.5,0.1,500,0.083881076880588,0.013023594742163
abalone,0,100,0.5,0.1,500,0.075082005106759,0.01061629150123
abalone,0,100,0.5,0.1,500,0.085767342869229,0.013236270470131
abalone,0,100,0.5,0.3,500,0.076165963601055,0.010783982805215
abalone,0,100,0.5,0.3,500,0.078580160113674,0.011295426677968
abalone,0,100,0.5,0.3,500,0.07933581834861,0.011324697660751
abalone,0,100,0.5,0.8,500,0.076735168079056,0.011147263413529
abalone,0,100,0.5,0.8,500,0.074060226313874,0.010106445334389
abalone,0,100,0.5,0.8,500,0.07346044453193,0.00985639551191
abalone,0,100,0.8,0.1,500,0.088949593752517,0.01323411591215
abalone,0,100,0.8,0.1,500,0.094560077607694,0.015229066381526
abalone,0,100,0.8,0.1,500,0.086646334841418,0.013991819041131
abalone,0,100,0.8,0.3,500,0.086297509079938,0.012713972648942
abalone,0,100,0.8,0.3,500,0.085271879906031,0.01321336034153
abalone,0,100,0.8,0.3,500,0.08180675437415,0.012270510662407
abalone,0,100,0.8,0.8,500,0.078928660212447,0.011901491602951
abalone,0,100,0.8,0.8,500,0.086282572205841,0.013999869883763
abalone,0,100,0.8,0.8,500,0.077906230633834,0.010609144223811
abalone,1,100,0.2,0.1,500,0.062242840026922,0.007765136431573
abalone,1,100,0.2,0.1,500,0.061406566737827,0.007398602243421
abalone,1,100,0.2,0.1,500,0.065909370131866,0.007481936918125
abalone,1,100,0.2,0.3,500,0.067499355101279,0.009421063693828
abalone,1,100,0.2,0.3,500,0.06236688149273,0.008297681806466
abalone,1,100,0.2,0.3,500,0.067798472943208,0.007921109224931
abalone,1,100,0.2,0.8,500,0.054478579874172,0.005906511580675
abalone,1,100,0.2,0.8,500,0.0564622896753,0.006548506653728
abalone,1,100,0.2,0.8,500,0.059152088216143,0.006127524329575
abalone,1,100,0.5,0.1,500,0.061354290748088,0.007270113652577
abalone,1,100,0.5,0.1,500,0.062859634524129,0.0070138352579
abalone,1,100,0.5,0.1,500,0.062708770876814,0.007341801844899
abalone,1,100,0.5,0.3,500,0.065894873720955,0.008412704922885
abalone,1,100,0.5,0.3,500,0.070927928782401,0.008885696072447
abalone,1,100,0.5,0.3,500,0.078626429428299,0.009261077941392
abalone,1,100,0.5,0.8,500,0.074417896506871,0.009958819174201
abalone,1,100,0.5,0.8,500,0.076596122988869,0.009837917535413
abalone,1,100,0.5,0.8,500,0.073570940220127,0.009978455313782
abalone,1,100,0.8,0.1,500,0.060834490041088,0.007461346754661
abalone,1,100,0.8,0.1,500,0.066727863045842,0.007896762090239
abalone,1,100,0.8,0.1,500,0.066810030186261,0.007736935042237
abalone,1,100,0.8,0.3,500,0.077707833638735,0.009968435844105
abalone,1,100,0.8,0.3,500,0.085656591771245,0.014830109285412
abalone,1,100,0.8,0.3,500,0.080388919971868,0.011191339894593
abalone,1,100,0.8,0.8,500,0.114156615925797,0.017859581495921
abalone,1,100,0.8,0.8,500,0.084669426105761,0.013459763425954
abalone,1,100,0.8,0.8,500,0.083243876093013,0.011906686111699
abalone,2,100,0.2,0.1,500,0.069786221500866,0.008369861014308
abalone,2,100,0.2,0.1,500,0.065338242659711,0.00861357863219
abalone,2,100,0.2,0.1,500,0.066255897788855,0.008152206006241
abalone,2,100,0.2,0.3,500,0.069279511207093,0.008627252130908
abalone,2,100,0.2,0.3,500,0.072999145778744,0.01108453853039
abalone,2,100,0.2,0.3,500,0.071021130410042,0.00944910651148
abalone,2,100,0.2,0.8,500,0.063559848985796,0.007452548647233
abalone,2,100,0.2,0.8,500,0.061857840596644,0.007593219785018
abalone,2,100,0.2,0.8,500,0.063189850925796,0.006886191168526
abalone,2,100,0.5,0.1,500,0.067087470692876,0.009119533895819
abalone,2,100,0.5,0.1,500,0.062228409007285,0.008421254216789
abalone,2,100,0.5,0.1,500,0.071938719457174,0.008344406394281
abalone,2,100,0.5,0.3,500,0.07063156156247,0.008454875184189
abalone,2,100,0.5,0.3,500,0.077722211511581,0.010611527618962
abalone,2,100,0.5,0.3,500,0.06485786631162,0.008302259214043
abalone,2,100,0.5,0.8,500,0.090147703282557,0.011667749487536
abalone,2,100,0.5,0.8,500,0.09482117088797,0.015606195397763
abalone,2,100,0.5,0.8,500,0.075885577814678,0.00999990947235
abalone,2,100,0.8,0.1,500,0.071039116708077,0.008751585748471
abalone,2,100,0.8,0.1,500,0.066430920554143,0.009153209773643
abalone,2,100,0.8,0.1,500,0.06240806236887,0.008168380227705
abalone,2,100,0.8,0.3,500,0.081256038778749,0.011052443731522
abalone,2,100,0.8,0.3,500,0.081514191183608,0.012107712714691
abalone,2,100,0.8,0.3,500,0.076651818193136,0.011004654975212
abalone,2,100,0.8,0.8,500,0.083865943911736,0.012602989385702
abalone,2,100,0.8,0.8,500,0.088022513008991,0.013664239362539
abalone,2,100,0.8,0.8,500,0.091963383135898,0.013713718059933
